==================================================
CONDITIONAL PATH PREDICTABILITY STUDY FULL DETAILS
==================================================

Cohort: ALL | K=1m | H=2m | N=43985 | Slope=-0.022226 | 95% CI=[-0.047361, -0.006273]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22425  |      +0.013950 |  49.94% | $    -8.75 | $   -18.75
  0-0.25       | 7062   |      +0.004756 |  48.20% | $    -8.39 | $   -18.39
  0.25-0.5     | 5484   |      -0.024748 |  46.48% | $   -14.51 | $   -24.51
  0.5-1.0      | 6160   |      -0.016845 |  47.29% | $   -10.37 | $   -20.37
   >=1.0       | 2854   |      -0.017082 |  45.83% | $   -15.79 | $   -25.79

Cohort: ALL | K=1m | H=5m | N=43985 | Slope=-0.025781 | 95% CI=[-0.054374, -0.003267]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22425  |      +0.015231 |  49.97% | $   -10.65 | $   -20.65
  0-0.25       | 7062   |      -0.009740 |  48.60% | $    -8.88 | $   -18.88
  0.25-0.5     | 5484   |      -0.037509 |  48.21% | $   -17.30 | $   -27.30
  0.5-1.0      | 6160   |      +0.006053 |  48.41% | $    -1.64 | $   -11.64
   >=1.0       | 2854   |      -0.040762 |  45.55% | $   -13.77 | $   -23.77

Cohort: ALL | K=1m | H=15m | N=43985 | Slope=-0.044093 | 95% CI=[-0.090799, -0.010542]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22425  |      +0.051537 |  50.22% | $    -8.58 | $   -18.58
  0-0.25       | 7062   |      -0.002098 |  50.55% | $    -6.67 | $   -16.67
  0.25-0.5     | 5484   |      -0.030048 |  49.95% | $   -14.58 | $   -24.58
  0.5-1.0      | 6160   |      +0.010080 |  50.15% | $    -3.96 | $   -13.96
   >=1.0       | 2854   |      -0.013383 |  47.30% | $    -9.87 | $   -19.87

Cohort: ALL | K=1m | H=30m | N=43985 | Slope=-0.058929 | 95% CI=[-0.126560, -0.008784]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22425  |      +0.062870 |  50.22% | $    -5.51 | $   -15.51
  0-0.25       | 7062   |      +0.005288 |  49.90% | $    -7.96 | $   -17.96
  0.25-0.5     | 5484   |      -0.052129 |  49.56% | $   -21.72 | $   -31.72
  0.5-1.0      | 6160   |      -0.032660 |  49.32% | $   -15.09 | $   -25.09
   >=1.0       | 2854   |      -0.037950 |  47.58% | $   -17.29 | $   -27.29

Cohort: ALL | K=2m | H=2m | N=43985 | Slope=-0.004827 | 95% CI=[-0.017880, +0.005951]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22339  |      +0.008554 |  50.28% | $    -8.83 | $   -18.83
