anchor,block,A_N,A_actual,A_N1,A_N1c,A_N2,A_censored_or_ambiguous,A_excluded_adv1_before,A_resid_N1,A_resid_N1_lo,A_resid_N1_hi,A_resid_N1c,A_resid_N1c_lo,A_resid_N1c_hi,A_resid_null_p_fixed,A_resid_null_p_fixed_lo,A_resid_null_p_fixed_hi,B_N,B_actual,B_N3,B_resid_N3,B_resid_N3_lo,B_resid_N3_hi,G_N,G_actual,G_N3,G_resid_N3,G_resid_N3_lo,G_resid_N3_hi
0.25,discovery,3533.0,0.4098499858477215,0.4166666666666667,0.42175200070618807,0.42314589707474654,45.0,300.0,-0.00681668081894523,-0.023014918467282527,0.009698522993828536,-0.011902014858466597,-0.028158589003653166,0.004650565449793538,-0.013295911227025012,-0.0298981786069521,0.0036238088339507887,3878.0,0.43166580711707064,0.455570687209902,-0.023904880092831357,-0.038263872492887124,-0.008879215281824306,,,,,,
0.25,replication,1150.0,0.41043478260869565,0.41666666666666663,0.42168662686381064,0.41847826086956524,16.0,118.0,-0.0062318840579710585,-0.03174739226197901,0.019669005922345138,-0.01125184425511499,-0.03695312876322641,0.014229840378771001,-0.008043478260869565,-0.03370952364362691,0.01788688344051323,1284.0,0.4252336448598131,0.449036214953271,-0.023802570093457945,-0.05002369651996191,0.0012410033170565014,,,,,,
0.25,pooled,4683.0,0.4099935938500961,0.41666666666666663,0.42173594691188226,0.4219996699477001,61.0,418.0,-0.006673072816570619,-0.019488485147325676,0.007965126662674538,-0.01174235306178619,-0.024705319862060947,0.002761081557385287,-0.012006076097603964,-0.024606830771040453,0.002373920675898814,5162.0,0.43006586594343277,0.45394529736536227,-0.023879431421929484,-0.03519580573415592,-0.01170666212430691,,,,,,
0.5,discovery,2901.0,0.4984488107549121,0.5,0.5049680766006098,0.5033553473646736,39.0,452.0,-0.0015511892450879006,-0.01934060717879906,0.019198565796355146,-0.006519265845697762,-0.0242999531981947,0.013551181742378453,-0.004906536609761473,-0.02322011274910028,0.015944933263940295,3392.0,0.49351415094339623,0.5136304171580188,-0.02011626621462264,-0.036136336805686946,-0.003519682234541097,,,,,,
0.5,replication,957.0,0.49320794148380354,0.5,0.5046368792802887,0.5065144984326019,16.0,154.0,-0.006792058516196447,-0.033995484635501796,0.021421697318793915,-0.0114289377964852,-0.0384948696701348,0.017048208128148296,-0.013306556948798329,-0.04153683508901481,0.015194130680877518,1127.0,0.484472049689441,0.5115073203194321,-0.027035270629991125,-0.05617055304475533,0.0011469430446745723,,,,,,
0.5,pooled,3858.0,0.49714878175220323,0.5,0.504885921122241,0.5041389937026745,55.0,606.0,-0.002851218247796786,-0.01808232651229253,0.013992054553465368,-0.007737139370037723,-0.02297610053582634,0.009020222626045722,-0.006990211950471237,-0.02208535134846754,0.009909486503917013,4519.0,0.4912591281256915,0.5131009349413587,-0.02184180681566718,-0.03480045943961163,-0.008049333580715936,,,,,,
0.75,discovery,2447.0,0.5884756845116469,0.5833333333333333,0.5881066052317299,0.5856878117682164,36.0,503.0,0.005142351178313517,-0.014157610971819575,0.027527554687311512,0.0003690792799169747,-0.018915441091298744,0.021823227066662162,0.002787872743430569,-0.016244270672036334,0.02421333677481528,2986.0,0.5606162089752177,0.5778476640991292,-0.01723145512391159,-0.03425037161258918,0.0005821769021662332,,,,,,
0.75,replication,811.0,0.5770653514180024,0.5833333333333333,0.5868717105979254,0.5876425709001233,13.0,167.0,-0.006267981915330932,-0.03657231126680232,0.023812884626874514,-0.009806359179922905,-0.03953278928202878,0.020274798496802304,-0.010577219482120839,-0.04085778120149309,0.019572543867704944,991.0,0.5509586276488395,0.5743094096871847,-0.023350782038345105,-0.053735122501861965,0.005118458119334284,,,,,,
0.75,pooled,3258.0,0.585635359116022,0.5833333333333333,0.5877992081942789,0.5861744015950968,49.0,670.0,0.002302025782688702,-0.014588036510590922,0.019489034554957412,-0.0021638490782567945,-0.019042650639702972,0.014628361689974306,-0.0005390424790747075,-0.01708966077732152,0.016468890847177457,3977.0,0.5582097058083982,0.576965991953734,-0.01875628614533568,-0.03287643680398604,-0.0040268506829167754,,,,,,
1.0,discovery,2129.0,0.6716768435885392,0.6666666666666666,0.6728495986126001,0.6724985927516458,25.0,505.0,0.005010176921872615,-0.015421571567501204,0.026221550421974587,-0.0011727550240609075,-0.020725935337713757,0.020148903131971152,-0.000821749163106608,-0.020097436115974688,0.020391736307364048,2659.0,0.6295599849567507,0.6514197066566378,-0.021859721699887175,-0.039201482151038074,-0.00444842656050031,1674.0,0.17204301075268819,0.1728590996026173,-0.0017906722316689357,-0.020856925404310618,0.015900001494095282
