outcome,anchor,variable,variant,block,n_used,delta,lo,hi,primary,meaningful
A_res_N2,0.25,time_to_anchor_s,tod_stratified,discovery,2410,-0.005901732966774198,-0.04467128311047804,0.034219632882514804,True,False
A_res_N2,0.25,time_to_anchor_s,plain,discovery,2410,-0.006978336262632603,-0.04573394119701169,0.032845641310192596,True,False
A_res_N2,0.25,time_to_anchor_s,tod_stratified_excl_last_hour,discovery,2366,-0.005552348954671446,-0.044981511411154695,0.03497954186136725,True,False
A_res_N2,0.25,time_to_anchor_s,tod_stratified,replication,768,0.012357705207968086,-0.05676379325035993,0.09156202275168249,True,False
A_res_N2,0.25,time_to_anchor_s,plain,replication,768,0.012127246732026142,-0.05588081649239806,0.09050905341075767,True,False
A_res_N2,0.25,time_to_anchor_s,tod_stratified_excl_last_hour,replication,757,0.01235411803822599,-0.056670296528144086,0.09016996069590469,True,False
A_res_N2,0.25,time_to_anchor_s,tod_stratified,pooled,3178,-0.0013302102869843745,-0.03494452812419299,0.03282538373909545,True,False
A_res_N2,0.25,time_to_anchor_s,plain,pooled,3178,-0.0022473141542153022,-0.036161557403390956,0.03132508225198498,True,False
A_res_N2,0.25,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,3123,-0.001023923374554336,-0.03646011302284915,0.0335085875338177,True,False
A_res_N2,0.25,pullback_from_mfe,plain,discovery,2356,0.011866443662920743,-0.029085576060295344,0.054025649466071426,True,False
A_res_N2,0.25,pullback_from_mfe,plain,replication,757,-0.011898689897447391,-0.08992759981318531,0.06734779561675351,True,False
A_res_N2,0.25,pullback_from_mfe,plain,pooled,3113,0.005878541688775447,-0.03223475879659556,0.04274894399587005,True,False
A_res_N2,0.25,mae_before,plain,discovery,2356,0.0031917832214945962,-0.0370758748480616,0.04131477186014472,True,False
A_res_N2,0.25,mae_before,plain,replication,749,0.013650650829982033,-0.05709469827263964,0.07776827409146374,True,False
A_res_N2,0.25,mae_before,plain,pooled,3105,0.005655949376258473,-0.028009838934400805,0.04114113118719293,True,False
A_res_N2,0.25,ret30,plain,discovery,2356,-0.04105210101867572,-0.08525321559035906,-0.0014548396991721998,True,False
A_res_N2,0.25,ret30,plain,replication,771,-0.06853433548990831,-0.1323470602925766,-0.004529604623575897,True,True
A_res_N2,0.25,ret30,plain,pooled,3127,-0.047795666016216265,-0.08234701223725359,-0.013990195392548727,True,False
A_res_N2,0.25,ret15,plain,discovery,2356,-0.006366723259762308,-0.047846456145920056,0.03510531313871368,False,False
A_res_N2,0.25,ret15,plain,replication,761,-0.042600592334374396,-0.11025914178647055,0.023400235085372836,False,False
A_res_N2,0.25,ret15,plain,pooled,3117,-0.015306313470977814,-0.052955841336892615,0.02109102183864267,False,False
A_res_N2,0.25,ret60,plain,discovery,2356,0.005531090831918505,-0.03717494553698637,0.04562198607702913,False,False
A_res_N2,0.25,ret60,plain,replication,777,-0.041390565990856686,-0.10469200548225055,0.014224415451635844,False,False
A_res_N2,0.25,ret60,plain,pooled,3133,-0.006103162236340222,-0.04188849000895744,0.03095836914180395,False,False
A_res_N2,0.25,path_eff,plain,discovery,2345,-0.005676669383595425,-0.042979922659560396,0.03345220526030505,False,False
A_res_N2,0.25,path_eff,plain,replication,750,-0.011178095732500835,-0.07980685271818869,0.05012144828483762,False,False
A_res_N2,0.25,path_eff,plain,pooled,3095,-0.0070872830554182175,-0.041073775388748145,0.02762057141498389,False,False
A_res_N2,0.25,n_cross,plain,discovery,2697,-0.020367844613231555,-0.05841299638328038,0.017604765838635194,False,False
A_res_N2,0.25,n_cross,plain,replication,880,0.03513989861797081,-0.03254817571329504,0.1131315385016853,False,False
A_res_N2,0.25,n_cross,plain,pooled,3577,-0.006524544272819406,-0.038217186191847385,0.028229422102126,False,False
A_res_N2,0.25,rv60,plain,discovery,2356,-0.019338921901528014,-0.05598627159944822,0.020045115168552567,False,False
A_res_N2,0.25,rv60,plain,replication,745,-0.0089935601473408,-0.07546127480560869,0.06073044675527435,False,False
A_res_N2,0.25,rv60,plain,pooled,3101,-0.016990369256495372,-0.049300144401651674,0.015364578055358106,False,False
A_res_N2,0.25,accel,plain,discovery,2356,-0.008183892190152801,-0.049048870944334966,0.035496237256148575,False,False
A_res_N2,0.25,accel,plain,replication,771,-0.034426680880135695,-0.10593502070601697,0.03795032846780379,False,False
A_res_N2,0.25,accel,plain,pooled,3127,-0.01466012593628937,-0.05256040164791641,0.02498907465304828,False,False
A_res_N2,0.25,fav_share,plain,discovery,2358,0.0013592343031057419,-0.03629756108581174,0.04285389442214619,False,False
A_res_N2,0.25,fav_share,plain,replication,770,-0.014082347667830442,-0.08222642129649653,0.061123581791708556,False,False
A_res_N2,0.25,fav_share,plain,pooled,3128,-0.002357532141717987,-0.03782612975913559,0.032284025909123715,False,False
A_res_N2,0.25,tod_min,plain,discovery,2355,-0.00804913875193411,-0.04115092053229249,0.025673880846867832,False,False
A_res_N2,0.25,tod_min,plain,replication,751,-0.010987966141363707,-0.07945876753834537,0.057500063870919035,False,False
A_res_N2,0.25,tod_min,plain,pooled,3106,-0.008772510920905661,-0.038546620864228054,0.020157375718677213,False,False
A_res_N2,0.5,time_to_anchor_s,tod_stratified,discovery,1932,0.016433223280829117,-0.02998745268406351,0.06217957151458051,True,False
A_res_N2,0.5,time_to_anchor_s,plain,discovery,1932,0.01450230963286954,-0.031162411663513172,0.06176346061939846,True,False
A_res_N2,0.5,time_to_anchor_s,tod_stratified_excl_last_hour,discovery,1896,0.017983561674294535,-0.02876503948479124,0.06464718247800633,True,False
A_res_N2,0.5,time_to_anchor_s,tod_stratified,replication,645,0.0191908604244929,-0.05753600391695495,0.08390573962093623,True,False
A_res_N2,0.5,time_to_anchor_s,plain,replication,645,0.019327531873774083,-0.058220849495806554,0.08657639255311794,True,False
A_res_N2,0.5,time_to_anchor_s,tod_stratified_excl_last_hour,replication,638,0.020832522091432867,-0.05689958365338666,0.08719373913618715,True,False
A_res_N2,0.5,time_to_anchor_s,tod_stratified,pooled,2577,0.016501829165921904,-0.02495000915491954,0.05350349126645627,True,False
A_res_N2,0.5,time_to_anchor_s,plain,pooled,2577,0.015679931257048117,-0.02551616318521138,0.051603263637766704,True,False
A_res_N2,0.5,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,2534,0.017974719058945612,-0.022491239005617454,0.05467118986260993,True,False
A_res_N2,0.5,pullback_from_mfe,plain,discovery,1934,-0.04832923991726991,-0.0926324275141155,-0.0021584924666612068,True,False
A_res_N2,0.5,pullback_from_mfe,plain,replication,625,0.0054734281437125755,-0.07452487938202043,0.08406697434575805,True,False
A_res_N2,0.5,pullback_from_mfe,plain,pooled,2559,-0.03477739584262564,-0.0755438418417341,0.006505852231582438,True,False
A_res_N2,0.5,mae_before,plain,discovery,1934,0.011295126468543916,-0.029821470242944494,0.05430885737529779,True,False
A_res_N2,0.5,mae_before,plain,replication,649,0.014511241562886208,-0.06795863791662114,0.09335902735491068,True,False
