anchor,block,outcome,N,rate,MDE_tercile_delta
0.25,discovery,A,3533,0.4098499858477215,0.0647034126303413
0.25,discovery,B,3878,0.43166580711707064,0.06219810418677217
0.25,replication,A,1150,0.41043478260869565,0.11343430601691991
0.25,replication,B,1284,0.4252336448598131,0.10789027482268305
0.25,pooled,A,4683,0.4099935938500961,0.056203084751406826
0.25,pooled,B,5162,0.43006586594343277,0.05388602568693509
0.5,discovery,A,2901,0.4984488107549121,0.07259377526411258
0.5,discovery,B,3392,0.49351415094339623,0.06712910761257353
0.5,replication,A,957,0.49320794148380354,0.12638027459217122
0.5,replication,B,1127,0.484472049689441,0.11641363391007435
0.5,pooled,A,3858,0.49714878175220323,0.06294875776152603
0.5,pooled,B,4519,0.4912591281256915,0.05815509821910341
0.75,discovery,A,2447,0.5884756845116469,0.07779476262637987
0.75,discovery,B,2986,0.5606162089752177,0.07102565900133488
0.75,replication,A,811,0.5770653514180024,0.13565757141767146
0.75,replication,B,991,0.5509586276488395,0.12355808760517277
0.75,pooled,A,3258,0.585635359116022,0.06748927801157519
0.75,pooled,B,3977,0.5582097058083982,0.061579238520584736
1.0,discovery,A,2129,0.6716768435885392,0.07958815684404541
1.0,discovery,B,2659,0.6295599849567507,0.07323584026564249
1.0,discovery,G,1674,0.17204301075268819,0.07213566025338534
1.0,replication,A,704,0.6605113636363636,0.13956347386118068
1.0,replication,B,869,0.6283084004602992,0.12819563872431203
1.0,replication,G,546,0.15567765567765568,0.12133226198518214
1.0,pooled,A,2833,0.6689022237910343,0.0691419298649079
1.0,pooled,B,3528,0.6292517006802721,0.06359058601529365
1.0,pooled,G,2220,0.16801801801801802,0.062053136023108676
1.25,discovery,A,1872,0.7553418803418803,0.077696956967568
1.25,discovery,B,2356,0.7105263157894737,0.07306549277932453
1.25,replication,A,626,0.7348242811501597,0.13796749932480376
1.25,replication,B,780,0.7,0.12831211945876353
1.25,pooled,A,2498,0.7502001601281025,0.06773197973212232
1.25,pooled,B,3136,0.7079081632653061,0.06349879380845838
1.5,discovery,A,1664,0.8383413461538461,0.07057300231315812
1.5,discovery,B,2102,0.796384395813511,0.06868404696062516
1.5,discovery,G,1674,0.17204301075268819,0.07213566025338534
1.5,replication,A,553,0.8191681735985533,0.12798725855976903
1.5,replication,B,689,0.7924528301886793,0.12082055876750061
1.5,replication,G,546,0.15567765567765568,0.12133226198518214
1.5,pooled,A,2217,0.8335588633288228,0.06186157308582503
1.5,pooled,B,2791,0.7954138301683984,0.05971179397860192
1.5,pooled,G,2220,0.16801801801801802,0.062053136023108676
2.0,discovery,G,1674,0.17204301075268819,0.07213566025338534
2.0,replication,G,546,0.15567765567765568,0.12133226198518214
2.0,pooled,G,2220,0.16801801801801802,0.062053136023108676
