outcome,variable,variant,anchor,group,value,N,delta,lo,hi
A_res_N2,ret30,plain,0.25,dir,-1,2295,-0.07103035487402182,-0.11845377916778503,-0.015329861714722596
A_res_N2,ret30,plain,0.25,dir,1,2388,-0.024321926277581556,-0.07398405878115452,0.024010312552033654
A_res_N2,ret30,plain,0.25,mtf_state,L/L/L/L,620,-0.1008094109996284,-0.2055291924968972,-0.0019512515924625178
A_res_N2,ret30,plain,0.25,mtf_state,L/L/L/S,213,0.004269781606672518,-0.13402858920951027,0.15659118350304527
A_res_N2,ret30,plain,0.25,mtf_state,L/L/S/S,197,-0.05266380894060012,-0.21771710548566017,0.11838691543496298
A_res_N2,ret30,plain,0.25,mtf_state,L/S/L/L,279,0.042459239130434784,-0.06529779114883678,0.14953504456103373
A_res_N2,ret30,plain,0.25,mtf_state,L/S/S/L,262,-0.11381172839506172,-0.24769371521160008,0.021645660371670903
A_res_N2,ret30,plain,0.25,mtf_state,L/S/S/S,621,0.06773459383753501,-0.026297774098999527,0.15822951279101702
A_res_N2,ret30,plain,0.25,mtf_state,S/L/L/L,775,-0.06846519446594428,-0.15251889607562524,0.01924847409937987
A_res_N2,ret30,plain,0.25,mtf_state,S/L/L/S,326,-0.04245364010989011,-0.1841078571314764,0.11603034962232812
A_res_N2,ret30,plain,0.25,mtf_state,S/L/S/S,284,-0.1328903419384058,-0.2838967809042875,0.016489832422237585
A_res_N2,ret30,plain,0.25,mtf_state,S/S/L/L,166,-0.044951414095583786,-0.21282204216429146,0.12761064800535993
A_res_N2,ret30,plain,0.25,mtf_state,S/S/S/L,173,-0.03363444607483493,-0.21606088458110517,0.1373104146752393
A_res_N2,ret30,plain,0.25,mtf_state,S/S/S/S,395,-0.07000324464633355,-0.17469240313359463,0.02811552569377268
A_res_N2,ret30,plain,0.25,seg,0,1494,-0.031817660687059275,-0.09763474375458173,0.03711947994968877
A_res_N2,ret30,plain,0.25,seg,1,2082,-0.03389805008820966,-0.08140053635259878,0.013123382497106642
A_res_N2,ret30,plain,0.25,seg,2,1107,-0.09050307151829172,-0.1581675642510771,-0.0166206667554239
B_res_N3,time_to_anchor_s,tod_stratified,0.25,dir,-1,2540,-0.020542130614960567,-0.07260044621915174,0.026794957915183132
B_res_N3,time_to_anchor_s,tod_stratified,0.25,dir,1,2622,-0.056807744516537625,-0.10549678853950598,-0.010770535847297378
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,L/L/L/L,673,-0.08273135188104919,-0.1762382782423597,0.009178475966495694
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,L/L/L/S,238,-0.004313377916447445,-0.16198559551977246,0.15015865423920396
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,L/L/S/S,212,-0.027277480669896357,-0.16569971772940456,0.118017529712461
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,L/S/L/L,307,-0.07603660891694823,-0.22224702539172705,0.06474838652927935
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,L/S/S/L,291,-0.002208914952218445,-0.1376340274357979,0.13469660008305273
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,L/S/S/S,690,-0.0874573928252892,-0.17493217238750153,-0.01357688297207368
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,S/L/L/L,850,-0.05586834752989673,-0.13289276474616502,0.027441721266119032
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,S/L/L/S,359,0.0179220388193762,-0.12596923105065702,0.1714530287620238
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,S/L/S/S,319,-0.03530484827626106,-0.1723101563274778,0.1065749796420261
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,S/S/L/L,188,0.06534705777761333,-0.1208404776943293,0.255758412896635
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,S/S/S/L,187,0.04052481312292359,-0.13325010447585695,0.19798136168841773
