outcome,anchor,block,speed_delta_within_trigger_terciles,lo,hi,n,trig_rel_entry_median_fast,trig_rel_entry_median_slow,rate_by_trig_tercile
B_raw,0.25,discovery,-0.02528315255375125,-0.06345087022669216,0.01104926477212175,2644,-1.453976892689607,-1.1657463268820891,"[0.49265274555297756, 0.41640866873065013, 0.38592420726991494]"
B_raw,0.25,replication,-0.0444689626014541,-0.11924065027080726,0.023391984624736108,867,-1.4926184291696818,-1.1233630323219566,"[0.46296296296296297, 0.4325, 0.3827433628318584]"
B_raw,0.25,pooled,-0.028777933328129106,-0.06192102226874264,0.0022696159769234336,3511,-1.4581462919861672,-1.153891326840338,"[0.4852173913043478, 0.42021276595744683, 0.3851002865329513]"
B_raw,0.5,discovery,-0.014818048610550062,-0.054168875091005285,0.023676605791114542,2278,-1.4298747473004525,-1.006213077743753,"[0.5649867374005305, 0.4557522123893805, 0.45977011494252873]"
B_raw,0.5,replication,-0.04364086635270355,-0.1270053264612715,0.03252795871486512,764,-1.4699220892497307,-1.0003190189124276,"[0.5361111111111111, 0.48031496062992124, 0.44041450777202074]"
B_raw,0.5,pooled,-0.020128382088672875,-0.06036383955154496,0.013782978227506654,3042,-1.4370753435130235,-1.0054375812620622,"[0.5580147551978538, 0.4619457313037723, 0.45484508899143045]"
B_raw,0.75,discovery,-0.03140534306057975,-0.08032236070640364,0.018225674432630557,1990,-1.3812796632370483,-0.8714687799500102,"[0.6030150753768844, 0.5557788944723618, 0.5230923694779116]"
B_raw,0.75,replication,-0.045651169128146846,-0.14914335490836889,0.05411275823043372,669,-1.4097013453147795,-0.859265362953356,"[0.5841269841269842, 0.5620915032679739, 0.5135135135135135]"
B_raw,0.75,pooled,-0.03339566554803804,-0.07686005125668711,0.009969563157410388,2659,-1.3891104287595477,-0.8686935441571906,"[0.5984732824427481, 0.5572636433512682, 0.5204978038067349]"
B_raw,1.0,discovery,-0.021279988866011942,-0.08142803257541366,0.03473444940294839,1774,-1.2761982428870327,-0.6931356681071476,"[0.6659142212189616, 0.6410835214446953, 0.5817361894024803]"
B_raw,1.0,replication,0.0033919843445133313,-0.12375325100151714,0.11937261313965514,559,-1.3231231195546371,-0.6903725239994521,"[0.6604477611940298, 0.6531986531986532, 0.5756578947368421]"
B_raw,1.0,pooled,-0.014945985834752954,-0.06369814909814434,0.03624733594744546,2333,-1.2910253114827621,-0.6929878221820455,"[0.6646447140381283, 0.6441251056635672, 0.5801847187237615]"
B_raw,1.25,discovery,-0.0008154372315532302,-0.07843750397586301,0.07579294674030955,1569,-1.2060055559709881,-0.5155447540494658,"[0.7312101910828025, 0.7350318471337579, 0.6653944020356234]"
B_raw,1.25,replication,-0.008660586110890751,-0.15889045699565926,0.13248796308307942,499,-1.2321254880767754,-0.5372562047735803,"[0.752, 0.6920152091254753, 0.6591760299625468]"
B_raw,1.25,pooled,-0.002499772084471971,-0.0757206257460161,0.0707235064744027,2068,-1.2152943190041718,-0.5220061639768525,"[0.736231884057971, 0.7242366412213741, 0.6638176638176638]"
B_raw,1.5,discovery,-0.01710040864592762,-0.09622829624050153,0.06452018116179427,1401,-1.1168743234276188,-0.31565460655297944,"[0.81169757489301, 0.8057142857142857, 0.7717546362339515]"
B_raw,1.5,replication,0.011179909068660024,-0.15858782122502219,0.17936525279808235,463,-1.0980370120405558,-0.3133454377502496,"[0.8151658767772512, 0.8097165991902834, 0.7532467532467533]"
B_raw,1.5,pooled,-0.01053229008315032,-0.08283872736328352,0.06579668108530388,1864,-1.1147339086518513,-0.3155579512060726,"[0.8125, 0.8067581837381204, 0.7671673819742489]"
G_raw,1.0,discovery,-0.04224833151694629,-0.10513997315633389,0.02016350972794417,1119,-1.30054733967284,-0.7049731597475657,"[0.20430107526881722, 0.17025089605734767, 0.14157706093189965]"
G_raw,1.0,replication,-0.05959614991713362,-0.16749491352030835,0.06007877681165236,348,-1.3245535525553502,-0.7143273336795632,"[0.1488095238095238, 0.19047619047619047, 0.12698412698412698]"
G_raw,1.0,pooled,-0.045729031363637505,-0.09741206704083427,0.005779133228021037,1467,-1.310933949493134,-0.7089158215467224,"[0.19146005509641872, 0.1753681392235609, 0.13788487282463185]"
G_raw,1.5,discovery,-0.013126830933075026,-0.1136755333882174,0.07238014548369542,1115,-1.131298231309452,-0.3446076427218528,"[0.23118279569892472, 0.18458781362007168, 0.1003584229390681]"
G_raw,1.5,replication,-0.03213659191948867,-0.2243289500360576,0.14283407228888,358,-1.1559892099308755,-0.3338963588382562,"[0.21301775147928995, 0.11855670103092783, 0.14207650273224043]"
G_raw,1.5,pooled,-0.017723936082612246,-0.09165130158703848,0.05369270902853519,1473,-1.1350837679061339,-0.33953663498060777,"[0.22696011004126548, 0.1675531914893617, 0.1106612685560054]"
G_raw,2.0,discovery,-0.032731467855403346,-0.11896266934163421,0.04892675321537,1116,-0.9277563672381102,0.09249258013226819,"[0.2670250896057348, 0.17562724014336917, 0.07347670250896057]"
G_raw,2.0,replication,0.03170758738282979,-0.08099988509259688,0.15208335087620528,353,-0.9034196707603207,0.07626559200871962,"[0.21739130434782608, 0.1657142857142857, 0.0855614973262032]"
G_raw,2.0,pooled,-0.02301626985243719,-0.09657412124944939,0.04541580248362377,1469,-0.9201962371512058,0.09029310224692114,"[0.25471698113207547, 0.17326057298772168, 0.07651006711409396]"
