anchor,block,lag,outcome,rho_raw,rho_null,rho_residual
0.5,discovery,trig_pos,final_pnl,0.019853175586281753,-0.006557101961401817,0.020352506020009285
0.5,discovery,trig_pos,giveback,-0.24850669075118073,-0.3041967448821785,-0.1485578220940681
0.5,discovery,trig_pos,add_mfe,-0.10154827366045355,-0.14591809112395102,-0.05843932683163918
0.5,discovery,price_to_trig,final_pnl,-0.004572717155940102,0.06204692378727058,-0.017287729127592084
0.5,discovery,price_to_trig,giveback,0.25699634075108013,0.3295675495082169,0.14706225349843682
0.5,discovery,price_to_trig,add_mfe,0.11268629026434235,0.17605732129883953,0.06174297430342173
0.5,discovery,mfe_to_trig,final_pnl,-0.013280711643273165,0.04045124785138824,-0.021692873662988787
0.5,discovery,mfe_to_trig,giveback,0.2658376331150689,0.33064474875431277,0.15663895955999443
0.5,discovery,mfe_to_trig,add_mfe,0.10471498823114561,0.14616944837642945,0.06201440739586318
0.5,discovery,catchup1,final_pnl,0.014898162606377744,-0.01036415883795002,0.017012728062857984
0.5,discovery,catchup1,giveback,0.024140237609883528,0.043599505271677226,0.0076628428334943365
0.5,discovery,catchup1,add_mfe,0.027024965446156013,0.01541391088466118,0.019149508692552133
0.5,replication,trig_pos,final_pnl,0.04729415488475687,-0.020488826418025866,0.045727381279046325
0.5,replication,trig_pos,giveback,-0.2388678226518564,-0.3533405057759076,-0.10964190590112578
0.5,replication,trig_pos,add_mfe,-0.0748351661420372,-0.22227597716510145,-0.01329748252161432
0.5,replication,price_to_trig,final_pnl,-0.028038075594894674,0.08700580657334779,-0.04103874959940878
0.5,replication,price_to_trig,giveback,0.24817178330822343,0.3624995544329072,0.11430865742813409
0.5,replication,price_to_trig,add_mfe,0.0915456671939603,0.2521714835920484,0.018320134431657753
0.5,replication,mfe_to_trig,final_pnl,-0.037364259148560904,0.06743817649701404,-0.04576038593839549
0.5,replication,mfe_to_trig,giveback,0.25429654940436186,0.3603807760207745,0.12048432631613645
0.5,replication,mfe_to_trig,add_mfe,0.07993066362171632,0.226478559277961,0.016421448558654586
0.5,replication,catchup1,final_pnl,-0.010450371094748055,-0.02757840664671085,-0.0077252447701656795
0.5,replication,catchup1,giveback,0.02770948636568049,0.08615805544896782,-0.013478408749217468
0.5,replication,catchup1,add_mfe,0.007000602998563166,0.023200640798413306,0.00021850811428394376
0.5,pooled,trig_pos,final_pnl,0.026864893402625566,-0.010486527506126506,0.02682517203762679
0.5,pooled,trig_pos,giveback,-0.24662835126661475,-0.3163085670726227,-0.13979601876889816
0.5,pooled,trig_pos,add_mfe,-0.09535045565772822,-0.16559719510694124,-0.04751802683381196
0.5,pooled,price_to_trig,final_pnl,-0.01093669340287051,0.06864944147581688,-0.023739648482972508
0.5,pooled,price_to_trig,giveback,0.2552503226052122,0.3377701291123808,0.13963626180240143
0.5,pooled,price_to_trig,add_mfe,0.10737214580837882,0.19586624242763698,0.05081464550176639
0.5,pooled,mfe_to_trig,final_pnl,-0.019607450918794414,0.0472323449382527,-0.027932470124593208
0.5,pooled,mfe_to_trig,giveback,0.26355546181549006,0.33796048445074595,0.14861501900964422
0.5,pooled,mfe_to_trig,add_mfe,0.0987160776088767,0.16652992453593576,0.05090085166049182
0.5,pooled,catchup1,final_pnl,0.008462978200943147,-0.014520136110117375,0.010571499129670902
0.5,pooled,catchup1,giveback,0.0260076225044513,0.054742678331903244,0.003332538258347986
0.5,pooled,catchup1,add_mfe,0.022224946312573678,0.017589967388480166,0.014621701270048026
1.0,discovery,trig_pos,final_pnl,0.030405556533722265,-0.019819820584632285,0.03218447077166982
1.0,discovery,trig_pos,giveback,-0.28614940223547836,-0.370927271912451,-0.17223085784723635
1.0,discovery,trig_pos,add_mfe,-0.10343931837853233,-0.19361398503632143,-0.05258813227440627
1.0,discovery,price_to_trig,final_pnl,-0.018913715201147156,0.10723279678570964,-0.039798120737669695
1.0,discovery,price_to_trig,giveback,0.28111947802511184,0.3888438842622658,0.16090969568875615
1.0,discovery,price_to_trig,add_mfe,0.10018972960244485,0.23324447805942064,0.03656447894206478
1.0,discovery,mfe_to_trig,final_pnl,-0.030643885213069242,0.0764229766784635,-0.044480117306655305
1.0,discovery,mfe_to_trig,giveback,0.2988262319529567,0.38924687184561063,0.17831561207675553
1.0,discovery,mfe_to_trig,add_mfe,0.09456889959928352,0.1930529123552895,0.043785578841193246
1.0,discovery,catchup1,final_pnl,0.005070357615281244,0.005756912679649098,0.001851376186738506
1.0,discovery,catchup1,giveback,0.03787539641514586,0.07862449222347258,0.01349149281449566
1.0,discovery,catchup1,add_mfe,0.03709091768805725,0.04924407633759037,0.01897932540030592
1.0,replication,trig_pos,final_pnl,0.04071330749583709,0.07575507664917838,0.031707669416234485
1.0,replication,trig_pos,giveback,-0.26697697059421055,-0.4123766027132637,-0.1250984115362257
1.0,replication,trig_pos,add_mfe,-0.07110233252221597,-0.1626064323027193,-0.026097238113402345
1.0,replication,price_to_trig,final_pnl,-0.04662077229099068,-0.011160829145650536,-0.052135923945670355
1.0,replication,price_to_trig,giveback,0.27790307860287167,0.4208770700160571,0.1334879549984941
1.0,replication,price_to_trig,add_mfe,0.058920848333125844,0.1797798968185192,0.008895356906508537
1.0,replication,mfe_to_trig,final_pnl,-0.057024777882974165,-0.05086646221521822,-0.05417241690175048
1.0,replication,mfe_to_trig,giveback,0.29017771769352285,0.4245451637955263,0.143588863509732
1.0,replication,mfe_to_trig,add_mfe,0.045387033243014754,0.13451865435081667,0.008690625070287424
1.0,replication,catchup1,final_pnl,-0.028142884956117744,-0.04256165681377942,-0.025726376522619887
1.0,replication,catchup1,giveback,0.030957004302916074,0.1260332365568845,-0.026184645953446734
1.0,replication,catchup1,add_mfe,-0.012717632579955897,0.04708276333851868,-0.028811690414596598
1.0,pooled,trig_pos,final_pnl,0.03373611984417859,0.0038174265809975834,0.03283637750462288
1.0,pooled,trig_pos,giveback,-0.28299472361380335,-0.3821367265392693,-0.1621910026298132
1.0,pooled,trig_pos,add_mfe,-0.09542987423706044,-0.1855496755763355,-0.045563197710916756
1.0,pooled,price_to_trig,final_pnl,-0.02644935127339254,0.07802670095284754,-0.04343374328539515
