anchor,block,outcome,N,se_mean,MDE_overall_residual,MDE_tercile_residual
0.5,discovery,final_pnl,3392,0.04102504343556793,0.1148701216195902,0.19896088691674635
0.5,discovery,add_mfe,3392,0.04273948110614975,0.11967054709721929,0.20727546774194802
0.5,discovery,giveback,3392,0.01593651287459154,0.04462223604885631,0.07728797998395064
0.5,discovery,frac_surrendered,3392,0.01788582502601348,0.050080310072837746,0.08674164150495839
0.5,discovery,exit_below_entry,3392,0.008161378550685746,0.022851859941920086,0.03958058246685356
0.5,discovery,giveback_ge_1A,3392,0.0019272883215615128,0.0053964073003722355,0.009346851622580315
0.5,replication,final_pnl,1127,0.06526882631155231,0.18275271367234647,0.31653698530159147
0.5,replication,add_mfe,1127,0.06277458316004529,0.1757688328481268,0.304440548880037
0.5,replication,giveback,1127,0.021686019361235362,0.06072085421145901,0.10517160457322963
0.5,replication,frac_surrendered,1127,0.03064729594128533,0.08581242863559892,0.14863148631773573
0.5,replication,exit_below_entry,1127,0.01383362807870359,0.038734158620370045,0.06708953071891292
0.5,replication,giveback_ge_1A,1127,0.0032810507119745394,0.00918694199352871,0.015912250298979833
1.0,discovery,final_pnl,2659,0.04875208271492881,0.13650583160180066,0.23643503586376
1.0,discovery,add_mfe,2659,0.05015434282396133,0.1404321599070917,0.2432356359757199
1.0,discovery,giveback,2659,0.017767581740526978,0.049749228873475534,0.0861681920462322
1.0,discovery,frac_surrendered,2659,0.012148040009424895,0.03401451202638971,0.058914863024369574
1.0,discovery,exit_below_entry,2659,0.00943333267937886,0.026413331502260804,0.04574923215907529
1.0,discovery,giveback_ge_1A,2659,0.0022450440912828796,0.006286123455592063,0.010887885207735893
1.0,replication,final_pnl,869,0.08350464258572708,0.23381299924003582,0.4049759941538053
1.0,replication,add_mfe,869,0.07905282350992487,0.22134790582778963,0.3833858190427028
1.0,replication,giveback,869,0.02611556127973408,0.07312357158325541,0.12665374121309814
1.0,replication,frac_surrendered,869,0.018231095262921,0.0510470667361788,0.08841611316442086
1.0,replication,exit_below_entry,869,0.014207850589587612,0.03978198165084531,0.06890441344503687
1.0,replication,giveback_ge_1A,869,0.004121346774576695,0.011539770968814745,0.019987469625695465
1.5,discovery,final_pnl,2102,0.05759474884822097,0.1612652967750187,0.27931968751200575
1.5,discovery,add_mfe,2102,0.05795499415249841,0.16227398362699555,0.2810667843885564
1.5,discovery,giveback,2102,0.02049558460366654,0.05738763689026631,0.09939830282025525
1.5,discovery,frac_surrendered,2102,0.009861586392096718,0.02761244189787081,0.047826152288155836
1.5,discovery,exit_below_entry,2102,0.009411161798227988,0.026351253035038366,0.045641709099790026
1.5,discovery,giveback_ge_1A,2102,0.002637580338676431,0.007385224948294007,0.012791584835770455
1.5,replication,final_pnl,689,0.09678974917414335,0.27101129768760135,0.4694053370200993
1.5,replication,add_mfe,689,0.09217744717806968,0.25809685209859506,0.44703686110835666
1.5,replication,giveback,689,0.03349000865140823,0.09377202422394303,0.16241791028444882
1.5,replication,frac_surrendered,689,0.015255297483875567,0.04271483295485159,0.07398426091462038
1.5,replication,exit_below_entry,689,0.015371540242728243,0.04304031267963908,0.07454800833478585
1.5,replication,giveback_ge_1A,689,0.004851496068661792,0.013584188992253016,0.02352850551420009
2.0,discovery,final_pnl,1674,0.06526413375198108,0.182739574505547,0.3165142275971257
2.0,discovery,add_mfe,1674,0.06569053507162048,0.18393349820053734,0.3185821640972093
2.0,discovery,giveback,1674,0.024888532101305923,0.06968788988365658,0.12070296595075837
2.0,discovery,frac_surrendered,1674,0.009176268807059514,0.02569355265976664,0.04450253863366228
2.0,discovery,exit_below_entry,1674,0.00918275439809328,0.025711712314661184,0.04453399207858755
2.0,discovery,giveback_ge_1A,1674,0.003013039522600287,0.008436510663280803,0.01461246510739896
2.0,replication,final_pnl,546,0.11027208344222195,0.3087618336382214,0.5347911832995287
2.0,replication,add_mfe,546,0.10190733711584564,0.28534054392436775,0.4942243195363438
2.0,replication,giveback,546,0.040892068470085946,0.11449779171624064,0.1983159926069677
2.0,replication,frac_surrendered,546,0.015020078349162538,0.04205621937765511,0.07284350873636139
2.0,replication,exit_below_entry,546,0.014723527815271103,0.04122587788275908,0.07140531507956878
2.0,replication,giveback_ge_1A,546,0.005671360161330898,0.015879808451726513,0.027504635052851986
3.0,discovery,final_pnl,1095,0.08604029210797332,0.24091281790232527,0.41727324080141637
3.0,discovery,add_mfe,1095,0.08458620495499747,0.2368413738739929,0.41022129288417175
3.0,discovery,giveback,1095,0.03636207672924344,0.10181381484188162,0.1763467002185492
3.0,discovery,frac_surrendered,1095,0.009329818428854431,0.026123491600792408,0.04524721472367127
3.0,discovery,exit_below_entry,1095,0.008135562861136893,0.0227795760111833,0.039455383026246654
3.0,discovery,giveback_ge_1A,1095,0.003569525592441359,0.009994671658835805,0.017311279118072325
3.0,replication,final_pnl,345,0.15892556470622857,0.44499158117744,0.7707480275397365
3.0,replication,add_mfe,345,0.15309689864254722,0.4286713161991322,0.7424804994043204
3.0,replication,giveback,345,0.05678322171291281,0.15899302079615585,0.275383990067797
3.0,replication,frac_surrendered,345,0.01581759480570937,0.044289265455986236,0.07671125799967334
3.0,replication,exit_below_entry,345,0.0070547565423063,0.01975331831845764,0.03421375094564965
3.0,replication,giveback_ge_1A,345,0.0076846327582220635,0.021516971723021777,0.037268488249296565
0.0,discovery,final_pnl,4521,0.03195661289802171,0.08947851611446078,0.15498133609611658
0.0,discovery,add_mfe,4521,0.03396379554404763,0.09509862752333337,0.1647156546004814
0.0,discovery,giveback,4521,0.013530221302024312,0.03788461964566807,0.06561808605171913
0.0,discovery,frac_surrendered,4435,0.1565850522738427,0.43843814636675954,0.7593971454835474
0.0,discovery,exit_below_entry,4521,0.006719572805255977,0.018814803854716736,0.032588196210812145
0.0,discovery,giveback_ge_1A,4521,0.0018611831368139725,0.0052113127830791224,0.009026258514426207
0.0,replication,final_pnl,1503,0.055029181132898064,0.15408170717211456,0.2668773453390523
0.0,replication,add_mfe,1503,0.05548828584989838,0.15536720037971546,0.2691038848874017
0.0,replication,giveback,1503,0.021401521579325053,0.059924260422110145,0.10379186365708358
0.0,replication,frac_surrendered,1477,0.2050391271018433,0.5741095558851612,0.9943869199039029
0.0,replication,exit_below_entry,1503,0.011979626031580098,0.03354295288842427,0.058098098638640065
0.0,replication,giveback_ge_1A,1503,0.002783072689943139,0.007792603531840788,0.01349718524038892
