anchor,block,excl_last_hour,outcome,kind,slow_minus_fast,lo,hi
0.5,discovery,False,final_pnl,real,-0.01137895547335643,-0.26523304271097875,0.22363018400123738
0.5,discovery,False,final_pnl,null,-0.01255643410112102,-0.04021848938582665,0.01609690555104342
0.5,discovery,False,final_pnl,res,0.001177478627764595,-0.25320909924168294,0.23885242351253483
0.5,discovery,False,giveback,real,-0.2130934515414816,-0.3121451805389075,-0.1272720185156436
0.5,discovery,False,giveback,null,-0.09565898062764615,-0.1152946767979727,-0.07538177686736365
0.5,discovery,False,giveback,res,-0.11743447091383538,-0.21118215142472369,-0.02960472582842164
0.5,discovery,False,add_mfe,real,-0.22370326911892924,-0.5085930258468909,0.045555967994831296
0.5,discovery,False,add_mfe,null,-0.10744627683285841,-0.13940072177258167,-0.07578212831917581
0.5,discovery,False,add_mfe,res,-0.1162569922860708,-0.39666041518996825,0.1467686017144712
0.5,discovery,True,final_pnl,real,-0.018629727930257484,-0.2847524168369084,0.22431858898511314
0.5,discovery,True,final_pnl,null,-0.012680812315596228,-0.040137275185198926,0.015764874503473355
0.5,discovery,True,final_pnl,res,-0.00594891561466116,-0.2760824296460343,0.24289713408085076
0.5,discovery,True,giveback,real,-0.20560523732356745,-0.3041607149060272,-0.11398429861712173
0.5,discovery,True,giveback,null,-0.09425352401984277,-0.11285621441809414,-0.07533049137803281
0.5,discovery,True,giveback,res,-0.11135171330372472,-0.21300453111533707,-0.020722010341079757
0.5,discovery,True,add_mfe,real,-0.2250750533532506,-0.5077582098810822,0.0527780943251314
0.5,discovery,True,add_mfe,null,-0.10777442443486478,-0.14005537595010634,-0.07519271539445355
0.5,discovery,True,add_mfe,res,-0.11730062891838591,-0.3987485258837541,0.14582384497324627
0.5,replication,False,final_pnl,real,-0.01878636089296417,-0.3376054415183136,0.27825075731475646
0.5,replication,False,final_pnl,null,-0.03764235264984487,-0.08517117429326881,0.005272203878759141
0.5,replication,False,final_pnl,res,0.018855991756880693,-0.29116635995593837,0.31163222296401555
0.5,replication,False,giveback,real,-0.3570244598181014,-0.490432524807942,-0.23658887660330563
0.5,replication,False,giveback,null,-0.15094842287233948,-0.18263956327782063,-0.1194210204088515
0.5,replication,False,giveback,res,-0.206076036945762,-0.3504393041515449,-0.08239937753416675
0.5,replication,False,add_mfe,real,-0.36018870471585407,-0.6816287912370323,-0.040761735194979914
0.5,replication,False,add_mfe,null,-0.17296865952697246,-0.23261196024093123,-0.11585853421816034
0.5,replication,False,add_mfe,res,-0.18722004518888133,-0.5036514411031477,0.1347430751742419
0.5,replication,True,final_pnl,real,-0.02622779905336662,-0.3528582175988325,0.28823614509137935
0.5,replication,True,final_pnl,null,-0.03488017978858053,-0.08290769774781091,0.008109230292508686
0.5,replication,True,final_pnl,res,0.008652380735213778,-0.3253098186078897,0.31534570472289586
0.5,replication,True,giveback,real,-0.3326937653478089,-0.46843535718536067,-0.21079554460523808
0.5,replication,True,giveback,null,-0.14788748791215028,-0.1813072971366446,-0.11414948177839306
0.5,replication,True,giveback,res,-0.18480627743565858,-0.33428277745470625,-0.05906556531698124
0.5,replication,True,add_mfe,real,-0.34388536928857977,-0.6867287422916261,-0.00978726380988093
0.5,replication,True,add_mfe,null,-0.16773147258813445,-0.2261651763603922,-0.11219254404186786
0.5,replication,True,add_mfe,res,-0.17615389670044476,-0.503668370514194,0.16108903139284492
0.5,pooled,False,final_pnl,real,-0.010948250334249813,-0.2000216659065706,0.1801011957851057
0.5,pooled,False,final_pnl,null,-0.018566906498007456,-0.04290338516267987,0.005436238069768113
0.5,pooled,False,final_pnl,res,0.007618656163757663,-0.1810869539854823,0.20090308593649803
0.5,pooled,False,giveback,real,-0.25140459450126484,-0.32962057323093186,-0.17326353986836368
0.5,pooled,False,giveback,null,-0.10956469212471255,-0.1269319341964036,-0.09228094265594379
0.5,pooled,False,giveback,res,-0.1418399023765522,-0.22104037365821072,-0.06345396744716306
0.5,pooled,False,add_mfe,real,-0.25782267820484595,-0.4695489974259621,-0.06055157923148366
0.5,pooled,False,add_mfe,null,-0.12360143199205154,-0.15138424472967346,-0.09630919170302836
0.5,pooled,False,add_mfe,res,-0.13422124621279458,-0.3416021885509814,0.06483339279949357
0.5,pooled,True,final_pnl,real,-0.01865900196296869,-0.21262001675883285,0.17341427712889046
0.5,pooled,True,final_pnl,null,-0.018038242097989692,-0.043221719057683204,0.00588247351994936
0.5,pooled,True,final_pnl,res,-0.0006207598649789461,-0.19468512486759834,0.19619796487075508
0.5,pooled,True,giveback,real,-0.2386769942490373,-0.316345454629243,-0.1592014139518445
0.5,pooled,True,giveback,null,-0.10776010797657608,-0.12505978959196937,-0.09066664243182028
0.5,pooled,True,giveback,res,-0.13091688627246098,-0.2128150162239191,-0.05280553627251725
0.5,pooled,True,add_mfe,real,-0.25420684530970744,-0.46908275569918495,-0.050015874814470035
0.5,pooled,True,add_mfe,null,-0.1226691991722679,-0.15168986569896298,-0.09475890467523972
0.5,pooled,True,add_mfe,res,-0.13153764613743993,-0.34234425525476575,0.0732976259905176
1.0,discovery,False,final_pnl,real,-0.029044332236858702,-0.27771260992015834,0.20806604934971007
1.0,discovery,False,final_pnl,null,0.006043701569944672,-0.02707201292644685,0.03932905423513967
1.0,discovery,False,final_pnl,res,-0.03508803380680333,-0.29845619011930163,0.20216319301889782
1.0,discovery,False,giveback,real,-0.35750929550836913,-0.4585891352001632,-0.2580112033810011
1.0,discovery,False,giveback,null,-0.15004451652244716,-0.17883917537753402,-0.1262354395027209
1.0,discovery,False,giveback,res,-0.20746477898592167,-0.3057225418178815,-0.1099078646213045
1.0,discovery,False,add_mfe,real,-0.3648360409237556,-0.627853207601895,-0.11137798969649398
1.0,discovery,False,add_mfe,null,-0.12228322813103108,-0.16159896556220077,-0.0888386549940305
1.0,discovery,False,add_mfe,res,-0.24255281279272495,-0.49600703234802146,0.012877041852792549
1.0,discovery,True,final_pnl,real,-0.0554738910665142,-0.3168176601141596,0.18041242170470417
1.0,discovery,True,final_pnl,null,0.011338374712272609,-0.021043510098039883,0.044105434969190074
1.0,discovery,True,final_pnl,res,-0.06681226577878685,-0.34394586425285095,0.17544296478412802
1.0,discovery,True,giveback,real,-0.3244666283485838,-0.42451231841673814,-0.2278313660690081
1.0,discovery,True,giveback,null,-0.14508969133576238,-0.16880511550887023,-0.1232900731904781
1.0,discovery,True,giveback,res,-0.17937693701282115,-0.2748428337893216,-0.08190943580832305
1.0,discovery,True,add_mfe,real,-0.3595401696663441,-0.6362899357574585,-0.10740576987327431
1.0,discovery,True,add_mfe,null,-0.1133509668747361,-0.15163053290001288,-0.07894372700212349
1.0,discovery,True,add_mfe,res,-0.24618920279160797,-0.5179277918146581,0.01490786221109629
1.0,replication,False,final_pnl,real,0.01775344921125441,-0.49727622143815436,0.513367966837117
1.0,replication,False,final_pnl,null,0.03895878101174549,-0.0335493002356086,0.10941847653706552
1.0,replication,False,final_pnl,res,-0.02120533180049109,-0.5436005411693983,0.4653477143323457
1.0,replication,False,giveback,real,-0.5218184260259564,-0.6947166403375921,-0.35292613797995287
1.0,replication,False,giveback,null,-0.18232624501519942,-0.22366189634249756,-0.13987171022227302
1.0,replication,False,giveback,res,-0.33949218101075695,-0.5038434554762514,-0.18435563613761416
1.0,replication,False,add_mfe,real,-0.4870889882595463,-0.9435103741558459,-0.024215728439539487
1.0,replication,False,add_mfe,null,-0.12639147544829812,-0.2034759491007705,-0.051774098907322104
1.0,replication,False,add_mfe,res,-0.3606975128112481,-0.8791191997521479,0.12405505855408687
1.0,replication,True,final_pnl,real,0.025377539738958073,-0.5189023121634979,0.5256629693025572
1.0,replication,True,final_pnl,null,0.039168381576854365,-0.030392104318960472,0.10889682491532375
1.0,replication,True,final_pnl,res,-0.013790841837896391,-0.5487701664852317,0.4765737475617088
1.0,replication,True,giveback,real,-0.48889260635211396,-0.6666650873254626,-0.3173149480210896
1.0,replication,True,giveback,null,-0.17770101270094352,-0.21572778775000484,-0.13688717406249312
1.0,replication,True,giveback,res,-0.3111915936511703,-0.48443735068852034,-0.14987714584900563
1.0,replication,True,add_mfe,real,-0.4486857470196244,-0.9246484846031205,0.019817686260790265
1.0,replication,True,add_mfe,null,-0.12370331153055773,-0.20099291568759478,-0.04685694586329253
1.0,replication,True,add_mfe,res,-0.3249824354890667,-0.8404681029507384,0.15775253153447738
1.0,pooled,False,final_pnl,real,-0.012336394228967163,-0.22181569608881285,0.20270700903201644
1.0,pooled,False,final_pnl,null,0.014418721461232414,-0.018379686799033346,0.045474912032037025
1.0,pooled,False,final_pnl,res,-0.026755115690199553,-0.24091872541433162,0.19907793221182735
1.0,pooled,False,giveback,real,-0.39816347119016693,-0.4890189590814618,-0.30946503422247074
1.0,pooled,False,giveback,null,-0.1579686698514347,-0.18029823142332083,-0.13682860448862003
1.0,pooled,False,giveback,res,-0.24019480133873233,-0.3321835655326265,-0.1541769785556335
1.0,pooled,False,add_mfe,real,-0.38978327826382075,-0.605776456222525,-0.16123610346812547
1.0,pooled,False,add_mfe,null,-0.12283336123488907,-0.15722654220625737,-0.0902407282403284
1.0,pooled,False,add_mfe,res,-0.2669499170289319,-0.4882588649452368,-0.03705164804108042
1.0,pooled,True,final_pnl,real,-0.031514543585361716,-0.24663231473561897,0.18644435959083802
1.0,pooled,True,final_pnl,null,0.018491520377125287,-0.01376310540882554,0.0479896613499898
1.0,pooled,True,final_pnl,res,-0.05000606396248704,-0.27090296028398597,0.18108352658601362
1.0,pooled,True,giveback,real,-0.364279184956049,-0.4539880265950022,-0.27995649961446134
1.0,pooled,True,giveback,null,-0.15302588150657995,-0.17276012058176732,-0.13359842063670482
1.0,pooled,True,giveback,res,-0.21125330344946935,-0.3011009119450411,-0.12583246331707618
1.0,pooled,True,add_mfe,real,-0.3765488506729588,-0.6020960262080212,-0.14240568837568143
1.0,pooled,True,add_mfe,null,-0.11528948326100286,-0.14975821500586883,-0.08022844692211036
1.0,pooled,True,add_mfe,res,-0.2612593674119563,-0.4910595585099213,-0.02404703418659901
1.5,discovery,False,final_pnl,real,0.1597932586415235,-0.11996009892036055,0.42171652379574276
1.5,discovery,False,final_pnl,null,-0.039459046899389436,-0.07857956201969589,-0.0052530695640151965
1.5,discovery,False,final_pnl,res,0.19925230554091294,-0.08373106437474306,0.465761292829334
1.5,discovery,False,giveback,real,-0.4968264841916963,-0.620231310320986,-0.378570577145483
1.5,discovery,False,giveback,null,-0.19371869732246272,-0.22999663452908778,-0.1628724236461622
1.5,discovery,False,giveback,res,-0.3031077868692333,-0.42425516350204273,-0.18446834400780138
1.5,discovery,False,add_mfe,real,-0.3080534288493662,-0.5899237193811975,-0.04205034384858996
1.5,discovery,False,add_mfe,null,-0.20419794752104553,-0.25406554433645007,-0.15917225694339185
1.5,discovery,False,add_mfe,res,-0.10385548132832037,-0.38802278442741683,0.16160146636427372
1.5,discovery,True,final_pnl,real,0.16882918805338873,-0.11606921552573739,0.43612036540544746
1.5,discovery,True,final_pnl,null,-0.0322336604316937,-0.07205530335414562,0.002735237730370702
1.5,discovery,True,final_pnl,res,0.2010628484850824,-0.08802525164153213,0.47531299818770806
1.5,discovery,True,giveback,real,-0.46789321354398405,-0.5942439939872225,-0.34930224228506634
1.5,discovery,True,giveback,null,-0.19021714190097236,-0.22168978173697707,-0.1619600200242865
1.5,discovery,True,giveback,res,-0.2776760716430117,-0.3992794788324604,-0.1587679037221237
1.5,discovery,True,add_mfe,real,-0.2695571263773879,-0.5576109889919304,0.012991826982312035
1.5,discovery,True,add_mfe,null,-0.19294390321945806,-0.24286586295410237,-0.1476796028644683
1.5,discovery,True,add_mfe,res,-0.07661322315792936,-0.357520724897059,0.19303288598151117
1.5,replication,False,final_pnl,real,-0.01310932530742795,-0.5369353412762901,0.4424868220792103
1.5,replication,False,final_pnl,null,0.02918247244493844,-0.02571267471139025,0.0800575865564471
1.5,replication,False,final_pnl,res,-0.042291797752366696,-0.5545629173730581,0.4108734685550144
1.5,replication,False,giveback,real,-0.6287999357414168,-0.8301503677515659,-0.46430597931816997
1.5,replication,False,giveback,null,-0.2117627156726543,-0.2710278772164596,-0.15528107721831086
1.5,replication,False,giveback,res,-0.4170372200687625,-0.6170204452936046,-0.24842324973789853
1.5,replication,False,add_mfe,real,-0.6306025660227019,-1.1061710898577997,-0.2194421716848415
1.5,replication,False,add_mfe,null,-0.17127354820157242,-0.2514975464155112,-0.09046465132603834
1.5,replication,False,add_mfe,res,-0.45932901782112934,-0.9494554765804818,-0.04520306522247853
