regime_start_ns,event,t_since_t0_s,mae_through_touch,adv0p5_before,adv1_before,s_from_prev_level,aligned_5m,trans_5m,aligned_15m,trans_15m,aligned_1h,trans_1h
1672756440000000000,fav_0p5,297.0,3.0345489672288433,1,1,297.0,1.0,0.0,1.0,0.0,1.0,0.0
1672756440000000000,fav_1p0,298.0,3.0345489672288433,1,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1672756440000000000,fav_1p5,308.0,3.0345489672288433,1,1,10.0,1.0,0.0,1.0,0.0,1.0,0.0
1672756440000000000,fav_2p0,394.0,3.0345489672288433,1,1,86.0,1.0,0.0,1.0,0.0,1.0,0.0
1672757100000000000,fav_0p5,18.0,0.2736432659598887,0,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
1672757100000000000,fav_1p0,156.0,0.4560721099331478,0,0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
1672757100000000000,fav_1p5,185.0,0.4560721099331478,0,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
1672757100000000000,fav_2p0,202.0,0.4560721099331478,0,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1672759620000000000,fav_0p5,134.0,0.4360507961170738,0,0,134.0,1.0,0.0,1.0,0.0,1.0,0.0
1672759620000000000,fav_1p0,207.0,0.4827705242724746,0,0,73.0,1.0,0.0,1.0,0.0,1.0,0.0
1672759620000000000,fav_1p5,220.0,0.4827705242724746,0,0,13.0,1.0,0.0,1.0,0.0,1.0,0.0
1672760340000000000,fav_0p5,86.0,0.5677399609843892,1,0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
1672761120000000000,fav_0p5,157.0,0.886734777815759,1,0,157.0,1.0,0.0,1.0,0.0,1.0,0.0
1672761420000000000,fav_0p5,79.0,0.2835846250933965,0,0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
1672761420000000000,fav_1p0,141.0,0.2835846250933965,0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
1672761420000000000,fav_1p5,211.0,0.2835846250933965,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
1672761900000000000,fav_0p5,88.0,0.5174634187606394,1,0,88.0,1.0,0.0,1.0,0.0,1.0,0.0
1672761900000000000,fav_1p0,254.0,0.5174634187606394,1,0,166.0,1.0,0.0,1.0,0.0,1.0,0.0
1672761900000000000,fav_1p5,263.0,0.5174634187606394,1,0,9.0,1.0,0.0,1.0,0.0,1.0,0.0
1672761900000000000,fav_2p0,270.0,0.5174634187606394,1,0,7.0,1.0,0.0,1.0,0.0,1.0,0.0
1672765620000000000,fav_0p5,22.0,0.0963742310246654,0,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
1672766280000000000,fav_0p5,324.0,1.7245326233887304,1,1,324.0,1.0,0.0,1.0,0.0,1.0,0.0
1672766280000000000,fav_1p0,339.0,1.7245326233887304,1,1,15.0,1.0,0.0,1.0,0.0,1.0,0.0
1672766280000000000,fav_1p5,361.0,1.7245326233887304,1,1,22.0,1.0,0.0,1.0,0.0,1.0,0.0
1672767120000000000,fav_0p5,83.0,0.582197305731667,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
1672767120000000000,fav_1p0,98.0,0.582197305731667,1,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
1672767120000000000,fav_1p5,112.0,0.582197305731667,1,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
1672767120000000000,fav_2p0,112.0,0.582197305731667,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1672767660000000000,fav_0p5,58.0,0.30284221646590403,0,0,58.0,0.0,0.0,1.0,0.0,1.0,0.0
1672767660000000000,fav_1p0,262.0,0.30284221646590403,0,0,204.0,0.0,0.0,1.0,0.0,1.0,0.0
1672767660000000000,fav_1p5,268.0,0.30284221646590403,0,0,6.0,0.0,0.0,1.0,0.0,1.0,0.0
1672767660000000000,fav_2p0,288.0,0.30284221646590403,0,0,20.0,0.0,0.0,1.0,0.0,1.0,0.0
1672768620000000000,fav_0p5,16.0,0.10769471352498683,0,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1672768620000000000,fav_1p0,26.0,0.10769471352498683,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1672769160000000000,fav_0p5,156.0,0.39888769016523845,0,0,156.0,1.0,0.0,1.0,0.0,1.0,0.0
1672769640000000000,fav_0p5,196.0,0.41054588026284067,0,0,196.0,1.0,0.0,1.0,0.0,1.0,0.0
1672770240000000000,fav_0p5,76.0,0.9224604725199395,1,0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
1672770240000000000,fav_1p0,82.0,0.9224604725199395,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1672770240000000000,fav_1p5,103.0,0.9224604725199395,1,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
1672770240000000000,fav_2p0,103.0,0.9224604725199395,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1672771200000000000,fav_0p5,323.0,1.6927936078937011,1,1,323.0,0.0,0.0,1.0,0.0,1.0,0.0
1672771200000000000,fav_1p0,459.0,1.6927936078937011,1,1,136.0,0.0,0.0,1.0,0.0,1.0,0.0
1672771980000000000,fav_0p5,43.0,0.3259247275016036,0,0,43.0,1.0,0.0,0.0,0.0,0.0,0.0
1672771980000000000,fav_1p0,53.0,0.3259247275016036,0,0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
1672771980000000000,fav_1p5,70.0,0.3259247275016036,0,0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
1672771980000000000,fav_2p0,455.0,0.3259247275016036,0,0,385.0,1.0,0.0,1.0,1.0,0.0,0.0
1672773360000000000,fav_0p5,9.0,0.0,0,0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
1672773600000000000,fav_0p5,220.0,0.7231752328042418,1,0,220.0,0.0,0.0,0.0,0.0,1.0,0.0
1672773600000000000,fav_1p0,241.0,0.7231752328042418,1,0,21.0,0.0,0.0,0.0,0.0,1.0,0.0
1672773600000000000,fav_1p5,683.0,0.7231752328042418,1,0,442.0,0.0,0.0,0.0,0.0,1.0,0.0
1672773600000000000,fav_2p0,712.0,0.7231752328042418,1,0,29.0,0.0,0.0,0.0,0.0,1.0,0.0
1672774920000000000,fav_0p5,66.0,0.22917020689984843,0,0,66.0,0.0,0.0,1.0,0.0,0.0,0.0
1672774920000000000,fav_1p0,76.0,0.22917020689984843,0,0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
1672774920000000000,fav_1p5,88.0,0.22917020689984843,0,0,12.0,0.0,0.0,1.0,0.0,0.0,0.0
1672774920000000000,fav_2p0,154.0,0.22917020689984843,0,0,66.0,0.0,0.0,1.0,0.0,0.0,0.0
1672776840000000000,fav_0p5,53.0,0.15157059603214845,0,0,53.0,1.0,0.0,1.0,0.0,0.0,0.0
1672776840000000000,fav_1p0,58.0,0.15157059603214845,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
1672776840000000000,fav_1p5,60.0,0.15157059603214845,0,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
1672777860000000000,fav_0p5,51.0,1.0595274186195929,1,1,51.0,1.0,0.0,1.0,0.0,0.0,0.0
1672777860000000000,fav_1p0,52.0,1.0595274186195929,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1672778280000000000,fav_0p5,221.0,1.006084882050908,1,1,221.0,0.0,0.0,0.0,0.0,1.0,0.0
1672778280000000000,fav_1p0,446.0,1.006084882050908,1,1,225.0,0.0,0.0,0.0,0.0,1.0,0.0
1672778940000000000,fav_0p5,48.0,1.0216213079911929,1,1,48.0,1.0,0.0,1.0,0.0,0.0,0.0
1672778940000000000,fav_1p0,49.0,1.0216213079911929,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1672780080000000000,fav_0p5,200.0,0.4117172128207862,0,0,200.0,,,,,,
1672780080000000000,fav_1p0,227.0,0.4117172128207862,0,0,27.0,,,,,,
1672842660000000000,fav_0p5,6.0,0.32199365250717554,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1672842660000000000,fav_1p0,7.0,0.32199365250717554,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1672842660000000000,fav_1p5,13.0,0.32199365250717554,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1672842660000000000,fav_2p0,16.0,0.32199365250717554,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1672843020000000000,fav_0p5,203.0,1.5793717604913875,1,1,203.0,0.0,0.0,1.0,0.0,1.0,0.0
1672843020000000000,fav_1p0,219.0,1.5793717604913875,1,1,16.0,0.0,0.0,1.0,0.0,1.0,0.0
1672843020000000000,fav_1p5,270.0,1.5793717604913875,1,1,51.0,0.0,0.0,1.0,0.0,1.0,0.0
1672843440000000000,fav_0p5,9.0,0.10802710551654625,0,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
1672843440000000000,fav_1p0,27.0,0.10802710551654625,0,0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
1672843440000000000,fav_1p5,123.0,0.10802710551654625,0,0,96.0,1.0,0.0,1.0,1.0,0.0,0.0
1672844460000000000,fav_0p5,182.0,2.983058080566457,1,1,182.0,1.0,0.0,1.0,0.0,0.0,0.0
1672844460000000000,fav_1p0,213.0,2.983058080566457,1,1,31.0,1.0,0.0,1.0,0.0,0.0,0.0
1672844460000000000,fav_1p5,218.0,2.983058080566457,1,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0
1672844460000000000,fav_2p0,219.0,2.983058080566457,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1672845420000000000,fav_0p5,33.0,0.24575183886745697,0,0,33.0,0.0,0.0,0.0,0.0,1.0,0.0
1672845780000000000,fav_0p5,55.0,0.4978345965371675,0,0,55.0,1.0,0.0,1.0,0.0,0.0,0.0
1672846200000000000,fav_0p5,374.0,1.707722550236046,1,1,374.0,0.0,0.0,0.0,0.0,1.0,0.0
1672846200000000000,fav_1p0,836.0,1.707722550236046,1,1,462.0,0.0,0.0,0.0,0.0,1.0,0.0
1672846200000000000,fav_1p5,842.0,1.707722550236046,1,1,6.0,0.0,0.0,0.0,0.0,1.0,0.0
1672846200000000000,fav_2p0,893.0,1.707722550236046,1,1,51.0,0.0,0.0,0.0,0.0,1.0,0.0
1672848060000000000,fav_0p5,62.0,0.24199568407442912,0,0,62.0,0.0,0.0,1.0,0.0,0.0,0.0
1672848540000000000,fav_0p5,64.0,0.3919784687335377,0,0,64.0,1.0,0.0,0.0,0.0,1.0,0.0
1672848540000000000,fav_1p0,84.0,0.3919784687335377,0,0,20.0,1.0,0.0,0.0,0.0,1.0,0.0
1672848540000000000,fav_1p5,268.0,0.3919784687335377,0,0,184.0,1.0,0.0,0.0,0.0,1.0,0.0
1672848540000000000,fav_2p0,1101.0,0.3919784687335377,0,0,833.0,1.0,0.0,0.0,0.0,1.0,0.0
1672851360000000000,fav_0p5,66.0,0.2806829806729238,0,0,66.0,1.0,0.0,1.0,0.0,1.0,0.0
1672851600000000000,fav_0p5,70.0,0.3642500781356145,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
