event,outcome,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
fav_0p5,reach_plus2,t_since_t0_s,2220,2299,52.0,"[21.0, 121.0]",58.0,"[24.0, 142.5]",101.52027027027027,111.90691605045672,-0.07369472720808481,0.4713433964630137,0.454098442245153,0.4880218495933177,False
fav_0p5,reach_plus2,s_from_prev_level,2220,2299,52.0,"[21.0, 121.0]",58.0,"[24.0, 142.5]",101.52027027027027,111.90691605045672,-0.07369472720808481,0.4713433964630137,0.454098442245153,0.4880218495933177,False
fav_0p5,reach_plus2,mae_through_touch,2220,2299,0.30302769850169875,"[0.10804255309752746, 0.6619352373463975]",0.3122920402034712,"[0.11018736718830185, 0.7001182450919003]",0.4675966028393237,0.4671060545885459,0.0009937234426265573,0.4920962502302215,0.47680746120705686,0.5068414674582515,False
fav_0p5,reach_plus2,adv0p5_before,2220,2299,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.34144144144144145,0.3562418442801218,-0.031048091083115945,0.49259979858065983,0.4797724340178761,0.505953194275835,False
fav_0p5,reach_plus2,adv1_before,2220,2299,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.13603603603603603,0.1322314049586777,0.011162829627469456,0.5019023155386791,0.4932007808432906,0.5104768707299073,False
fav_0p5,reach_plus2,aligned_5m,2133,2227,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4219409282700422,0.4126627750336776,0.018812604632069577,0.5046390766181823,0.4890569877897674,0.5200459614512287,False
fav_0p5,reach_plus2,aligned_15m,2135,2228,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.46510538641686183,0.46768402154398564,-0.00516777146230582,0.49871068243643807,0.4825212524663923,0.5139300515637292,False
fav_0p5,reach_plus2,aligned_1h,2136,2228,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.49859550561797755,0.4874326750448833,0.02232418825468189,0.5055814152865471,0.49085418978606826,0.5208674625180122,False
fav_0p5,reach_plus2,trans_5m,2133,2227,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.008907641819034223,0.00224517287831163,0.09011814137398001,0.5033312344703613,0.5010951131561306,0.5054650684418907,False
fav_0p5,reach_plus3,t_since_t0_s,1440,3079,52.0,"[20.0, 120.0]",56.0,"[23.0, 138.0]",100.6875,109.66515102305944,-0.06368253530107207,0.47592032496120673,0.4580702737167666,0.49460208508472825,False
fav_0p5,reach_plus3,s_from_prev_level,1440,3079,52.0,"[20.0, 120.0]",56.0,"[23.0, 138.0]",100.6875,109.66515102305944,-0.06368253530107207,0.47592032496120673,0.4580702737167666,0.49460208508472825,False
