mtf_state,N,supported,long,fav2_pct,win_pct,giveback_pct_of_plus2,misaligned_5m_at_T0,f5_pct_of_misaligned,f5_before_plus0p5_pct,f5_after_plus1_pct,plus2_median_t_to_0p5_s,plus2_median_t_to_2p0_s,C1_EARLY_60s_auc_mfe,C1_EARLY_60s_auc_ci
L/L/L/L,766,True,True,40.33942558746737,37.206266318537864,14.239482200647247,False,,,,55.0,389.0,0.6157871462264151,"[0.576, 0.657]"
L/L/L/S,279,True,True,32.25806451612903,30.46594982078853,21.111111111111114,False,,,,50.5,268.5,0.6550170068027211,"[0.572, 0.745]"
L/L/S/L,108,False,,,,,,,,,,,,
L/L/S/S,258,True,True,36.04651162790697,31.3953488372093,21.505376344086024,False,,,,56.0,433.0,0.5964100141709967,"[0.514, 0.675]"
L/S/L/L,345,True,True,34.492753623188406,34.78260869565217,14.28571428571429,True,35.40372670807454,3.508771929824561,88.59649122807018,54.0,395.0,0.59660014781966,"[0.526, 0.665]"
L/S/L/S,132,False,,,,,,,,,,,,
L/S/S/L,352,True,True,37.5,34.94318181818182,12.878787878787879,True,31.671554252199414,2.7777777777777777,93.51851851851852,55.0,405.5,0.6134063305115937,"[0.548, 0.680]"
L/S/S/S,792,True,True,38.38383838383838,38.005050505050505,10.197368421052634,True,32.58869908015769,0.8064516129032258,93.54838709677419,48.5,425.0,0.608848667672197,"[0.562, 0.653]"
S/L/L/L,1003,True,False,35.09471585244267,28.8135593220339,21.306818181818176,True,24.613800205973224,3.3472803347280333,89.1213389121339,49.5,301.5,0.5867848737064941,"[0.542, 0.630]"
S/L/L/S,416,True,False,38.22115384615385,31.73076923076923,18.867924528301884,True,29.368932038834952,4.132231404958678,93.38842975206612,51.0,356.0,0.6081008403361344,"[0.537, 0.669]"
S/L/S/L,150,True,False,39.33333333333333,31.333333333333336,20.33898305084746,True,29.25170068027211,2.3255813953488373,86.04651162790698,52.0,316.0,0.6158823529411764,"[0.502, 0.730]"
S/L/S/S,379,True,False,33.773087071240106,31.398416886543533,15.625,True,33.9622641509434,4.761904761904762,88.09523809523809,61.5,390.5,0.6462050322312332,"[0.572, 0.719]"
S/S/L/L,214,True,False,40.18691588785047,31.308411214953267,26.74418604651163,False,,,,58.0,326.0,0.5887230514096186,"[0.508, 0.669]"
S/S/L/S,78,False,,,,,,,,,,,,
S/S/S/L,224,True,False,32.589285714285715,29.017857142857146,15.068493150684937,False,,,,43.0,244.0,0.6116431068551451,"[0.515, 0.711]"
S/S/S/S,528,True,False,35.984848484848484,31.439393939393938,19.999999999999996,False,,,,47.5,359.5,0.6470645161290323,"[0.590, 0.706]"
