tf,category,N,pct,next_level_never_reached_n,ties_same_second,median_t_transition_s,median_t_fav_0p5_s,median_t_fav_1p0_s,median_t_fav_1p5_s,median_t_fav_2p0_s,median_t_fav_3p0_s,win_pct,fav2_pct,fav3_pct,adv0p5_pct,adv1_pct
5m,5m BEFORE +0.5A,29,2.767175572519084,6,0,105.0,166.0,228.5,391.0,422.5,619.0,51.724137931034484,62.06896551724138,44.827586206896555,86.20689655172413,41.37931034482759
5m,between +0.5A and +1A,66,6.297709923664122,20,1,165.0,44.5,233.0,309.5,439.0,609.5,48.484848484848484,53.03030303030303,30.303030303030305,81.81818181818183,48.484848484848484
5m,between +1A and +1.5A,114,10.877862595419847,23,0,285.0,70.0,169.0,468.0,544.0,861.0,57.01754385964912,55.26315789473685,41.228070175438596,67.54385964912281,39.473684210526315
5m,between +1.5A and +2A,169,16.125954198473284,38,2,345.0,79.0,161.0,258.0,477.0,644.5,76.92307692307693,77.51479289940828,46.15384615384615,65.68047337278107,32.544378698224854
5m,AFTER +2A (before +3A),356,33.969465648854964,115,2,525.0,54.0,156.0,247.0,374.0,659.0,91.29213483146067,100.0,67.69662921348315,51.40449438202247,21.34831460674157
5m,AFTER +3A,314,29.9618320610687,0,0,705.0,39.0,120.5,210.0,299.0,489.0,96.81528662420382,100.0,100.0,45.85987261146497,20.382165605095544
15m,15m BEFORE +0.5A,9,2.479338842975207,2,0,45.0,67.0,154.5,344.0,405.0,411.0,22.22222222222222,22.22222222222222,11.11111111111111,100.0,33.33333333333333
15m,between +0.5A and +1A,10,2.7548209366391183,2,0,315.0,172.0,500.5,691.0,712.5,1066.0,60.0,60.0,50.0,90.0,60.0
15m,between +1A and +1.5A,19,5.234159779614325,3,1,285.0,28.0,105.0,466.0,452.5,494.0,52.63157894736842,52.63157894736842,36.84210526315789,63.1578947368421,42.10526315789473
15m,between +1.5A and +2A,23,6.336088154269972,6,0,405.0,64.0,137.0,247.0,479.0,719.0,73.91304347826086,73.91304347826086,47.82608695652174,65.21739130434783,17.391304347826086
15m,AFTER +2A (before +3A),54,14.87603305785124,17,0,615.0,47.5,98.0,140.0,266.0,805.0,88.88888888888889,100.0,68.51851851851852,48.148148148148145,20.37037037037037
15m,AFTER +3A,248,68.31955922865014,0,0,1125.0,52.5,134.0,217.5,302.0,550.0,99.59677419354838,100.0,100.0,54.43548387096774,26.61290322580645
1h,1h BEFORE +0.5A,7,8.536585365853659,3,0,105.0,150.0,247.0,238.0,541.5,998.5,28.57142857142857,28.57142857142857,28.57142857142857,71.42857142857143,57.14285714285714
1h,between +0.5A and +1A,5,6.097560975609756,1,0,225.0,41.0,322.0,370.0,322.0,1177.0,20.0,20.0,20.0,80.0,60.0
1h,between +1A and +1.5A,6,7.317073170731708,3,0,375.0,39.0,124.0,542.0,953.5,1562.0,33.33333333333333,33.33333333333333,16.666666666666664,66.66666666666666,33.33333333333333
1h,between +1.5A and +2A,8,9.75609756097561,2,0,405.0,60.0,131.0,142.0,565.0,619.0,75.0,75.0,37.5,87.5,37.5
1h,AFTER +2A (before +3A),10,12.195121951219512,4,0,645.0,37.5,77.5,112.0,152.0,782.5,70.0,100.0,60.0,50.0,20.0
1h,AFTER +3A,46,56.09756097560975,0,0,1245.0,45.0,145.5,230.0,350.0,517.5,100.0,100.0,100.0,50.0,23.91304347826087
