regime_start_ns,session,dir,t0_ns,entry_ts,entry_price,atr,terminal_ts,win,terminal_gross_atr,t_fav_0p5,reach_fav_0p5,t_fav_1p0,reach_fav_1p0,t_fav_1p5,reach_fav_1p5,t_fav_2p0,reach_fav_2p0,t_fav_3p0,reach_fav_3p0,t_adv_0p5,reach_adv_0p5,t_adv_1p0,reach_adv_1p0,chain_5m,aligned_T0_5m,n_trans_5m,t_first_into_5m,chain_15m,aligned_T0_15m,n_trans_15m,t_first_into_15m,chain_1h,aligned_T0_1h,n_trans_1h,t_first_into_1h,chains_exact,t_first_trans_5m,first_trans_into_5m,t_first_trans_15m,first_trans_into_15m,t_first_trans_1h,first_trans_into_1h
1672756440000000000,2023-01-03,1,1672756455000000000,1672756455000000000,11133.0,12.35768491626783,1672757100000000000,1,0.4046065289638458,297.0,1,298.0,1,308.0,1,394.0,1,411.0,1,9.0,1,20.0,1,EXACT,1.0,0.0,,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,,,,,,
1672757100000000000,2023-01-03,-1,1672757115000000000,1672757115000000000,11121.75,19.18556256659193,1672759440000000000,1,8.639308825305058,18.0,1,156.0,1,185.0,1,202.0,1,222.0,1,,0,,0,EXACT,0.0,1.0,285.0,EXACT,0.0,1.0,885.0,EXACT,0.0,1.0,885.0,1,285.0,1.0,885.0,1.0,885.0,1.0
1672759440000000000,2023-01-03,1,1672759455000000000,1672759455000000000,10954.25,17.088035431363192,1672759620000000000,0,-0.9802180050058437,,0,,0,,0,,0,,0,58.0,1,160.0,1,EXACT,0.0,0.0,,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,,,,,,
1672759620000000000,2023-01-03,-1,1672759635000000000,1672759635000000000,10941.25,16.053175598653404,1672760340000000000,0,-0.07786621359233462,134.0,1,207.0,1,220.0,1,,0,,0,,0,,0,EXACT,1.0,0.0,,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,,,,,,
1672760340000000000,2023-01-03,1,1672760355000000000,1672760355000000000,10943.0,14.531300537125386,1672760700000000000,0,-0.5161272372585356,86.0,1,,0,,0,,0,,0,37.0,1,,0,EXACT,0.0,0.0,,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,,,,,,
1672760700000000000,2023-01-03,-1,1672760715000000000,1672760715000000000,10941.25,13.57241514806512,1672760820000000000,0,-1.436737661445606,,0,,0,,0,,0,,0,31.0,1,74.0,1,EXACT,1.0,0.0,,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,,,,,,
1672760820000000000,2023-01-03,1,1672760835000000000,1672760835000000000,10958.25,13.992286530729618,1672761120000000000,0,-1.3936249773883944,,0,,0,,0,,0,,0,59.0,1,221.0,1,EXACT,0.0,0.0,,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,,,,,,
1672761120000000000,2023-01-03,-1,1672761135000000000,1672761135000000000,10939.5,12.968928576735498,1672761420000000000,0,-1.3301021667236386,157.0,1,,0,,0,,0,,0,35.0,1,247.0,1,EXACT,1.0,0.0,,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,,,,,,
1672761420000000000,2023-01-03,1,1672761435000000000,1672761435000000000,10963.75,13.2235659770517,1672761900000000000,0,-0.6806031002241516,79.0,1,141.0,1,211.0,1,,0,,0,421.0,1,,0,EXACT,0.0,0.0,,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,,,,,,
1672761900000000000,2023-01-03,-1,1672761915000000000,1672761915000000000,10953.75,12.561274409634498,1672765620000000000,1,5.65229272800083,88.0,1,254.0,1,263.0,1,270.0,1,295.0,1,42.0,1,,0,EXACT,1.0,0.0,,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,,,,,,
1672765620000000000,2023-01-03,1,1672765635000000000,1672765635000000000,10886.0,10.376217681509349,1672766280000000000,0,-1.0119294257589868,22.0,1,,0,,0,,0,,0,591.0,1,619.0,1,EXACT,0.0,0.0,,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,,,,,,
1672766280000000000,2023-01-03,-1,1672766295000000000,1672766295000000000,10871.75,9.422842908050372,1672767120000000000,0,-1.4857511832272137,324.0,1,339.0,1,361.0,1,,0,,0,4.0,1,178.0,1,EXACT,1.0,0.0,,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,,,,,,
1672767120000000000,2023-01-03,1,1672767135000000000,1672767135000000000,10886.25,9.446969173256418,1672767660000000000,0,-0.13231756948446977,83.0,1,98.0,1,112.0,1,112.0,1,,0,27.0,1,,0,EXACT,0.0,1.0,165.0,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,165.0,1.0,,,,
1672767660000000000,2023-01-03,-1,1672767675000000000,1672767675000000000,10883.75,9.080636220708724,1672768620000000000,1,1.5968044140929485,58.0,1,262.0,1,268.0,1,288.0,1,291.0,1,,0,,0,EXACT,0.0,1.0,525.0,EXACT,1.0,0.0,,EXACT,1.0,0.0,,1,525.0,1.0,,,,
1672768620000000000,2023-01-03,1,1672768635000000000,1672768635000000000,10871.25,9.28550684865311,1672769160000000000,0,-0.8884813865811414,16.0,1,26.0,1,,0,,0,,0,71.0,1,495.0,1,EXACT,0.0,0.0,,EXACT,0.0,0.0,,EXACT,0.0,0.0,,1,,,,,,
