feature,val_pct_outside_train_range,spearman_vs_time_train,train_unique,flags,excluded
dir_1m,0.0,0.004509242553069201,2,,False
atr_entry_1m,0.0,-0.13425079014588218,4521,,False
checkpoint_seconds_since_flip,0.0,,1,C_constant_in_train,True
bars_1m,0.0,,1,C_constant_in_train,True
atr_1m,0.0,-0.13425079014588218,4521,,False
dir_5m,0.0,0.011629778326699192,2,,False
dir_15m,0.0,-0.030499231735972507,2,,False
dir_1h,0.0,0.022077690517082915,2,,False
age_s_5m,0.0,-0.04835723826499577,328,,False
bars_5m,0.0,-0.048370434698494544,81,,False
atr_5m,0.0,-0.19699788846132338,4145,,False
frozen_atr_5m,0.0,-0.18577297892701572,963,,False
mfe_atr_5m,0.39920159680638717,-0.03889833776947736,2048,,False
mae_atr_5m,0.0,-0.0002659163656983536,568,,False
pnl_atr_5m,0.332667997338656,-0.04729649338079935,4450,,False
retained_5m,0.0,-0.053511801964953414,4183,,False
age_s_15m,0.0,-0.01422960980764306,630,,False
bars_15m,0.0,-0.013673471996567673,67,,False
atr_15m,0.0,-0.23141954140032117,2907,,False
frozen_atr_15m,0.0,-0.17428412063627383,431,,False
mfe_atr_15m,2.3286759813705924,0.006145795572104881,1279,,False
mae_atr_15m,1.66333998669328,0.007137212488368821,297,,False
pnl_atr_15m,2.1290751829673984,-0.0009926105376159699,4411,,False
retained_15m,0.1330671989354624,-0.04379437519372128,4310,,False
age_s_1h,0.0,-0.03629737269208341,1830,,False
bars_1h,0.0,-0.02130793832037235,66,,False
atr_1h,0.0,-0.291349260926714,1123,,False
frozen_atr_1h,0.0,-0.32713868199846047,187,,False
mfe_atr_1h,0.0,0.003975423694633332,835,,False
mae_atr_1h,0.0,0.050054005197803876,203,,False
pnl_atr_1h,0.0,-0.015563176298649789,4373,,False
retained_1h,0.0,-0.06647872462381206,4373,,False
prior_dir_5m,0.0,-0.011629778326699192,2,,False
prior_frozen_atr_5m,0.0,-0.14868383459021187,963,,False
prior_duration_s_5m,0.0,0.040868555256776504,62,,False
prior_bars_5m,0.0,0.040868555256776504,62,,False
prior_mfe_atr_5m,0.19960079840319359,0.024732990010588977,963,,False
prior_mae_atr_5m,0.0,-0.09366486606716237,590,,False
prior_terminal_displacement_atr_5m,0.19960079840319359,0.07516380897574988,959,,False
prior_rotation_seq_5m,100.0,0.9999967403936723,963,A_extrapolation;B_time_proxy;D_named_counter,True
prior_dir_15m,0.0,0.030499231735972507,2,,False
prior_frozen_atr_15m,0.0,-0.19444676469909597,431,,False
prior_duration_s_15m,0.0,-0.091198557124749,54,,False
prior_bars_15m,0.0,-0.09001907457432581,51,,False
prior_mfe_atr_15m,0.0,-0.06919098872936129,431,,False
prior_mae_atr_15m,0.0,0.01522075248582456,306,,False
prior_terminal_displacement_atr_15m,0.0,0.004067121057032056,427,,False
prior_rotation_seq_15m,100.0,0.9999896588466449,431,A_extrapolation;B_time_proxy;D_named_counter,True
prior_dir_1h,0.0,-0.022077690517082915,2,,False
prior_frozen_atr_1h,0.0,-0.2797151038031459,187,,False
prior_duration_s_1h,0.0,-0.03663577401110622,62,,False
prior_bars_1h,0.0,-0.07819166992714872,47,,False
prior_mfe_atr_1h,0.998003992015968,-0.06795879453814449,187,,False
prior_mae_atr_1h,0.0,-0.06037800012606718,123,,False
prior_terminal_displacement_atr_1h,0.998003992015968,-0.04061028859805037,187,,False
prior_rotation_seq_1h,100.0,0.9999490020772854,187,A_extrapolation;B_time_proxy;D_named_counter,True
